entrez	length
197322	66709
2180	70998
2181	83603
2182	92057
51703	54264
23305	62095
116285	74553
123876	36165
348158	40150
6296	55371
341392	24041
54988	31802
84532	51952
55902	53024
79611	183173
58	2849
59	56323
345651	2793
60	3453
70	5319
71	2828
72	26857
86	25527
51412	13351
10881	1490
10880	1398
81569	71730
284382	1395
87	105179
88	78177
89	16939
81	83940
55860	35487
10121	23483
10120	8105
10097	43558
57180	311230
653857	442310
10096	72662
79913	24060
64431	24337
93973	23168
139741	1441
140625	1436
91	45383
130399	102097
90	139884
92	86310
93	39252
94	16448
95	5662
91703	8278
97	16247
98	334462
132612	50844
161931	6009
161823	24228
102	160898
4185	22858
8038	376086
8751	11459
6868	67344
8749	145497
8728	98471
8748	43925
145241	2048
8747	7731
53616	268746
8745	177595
10863	64974
11086	59822
2515	94492
11085	2982
203102	177388
80332	14135
1587	71944
255926	102563
8755	2540
8756	68539
101	14469
8754	108494
27299	21728
81794	30475
81792	368645
11093	45064
140766	89935
170689	29339
170690	179974
170691	371487
170692	152906
171019	278402
9510	9654
80070	199360
9509	234608
9508	288252
9507	18037
11096	49836
11174	333927
11173	52273
11095	23686
56999	172346
92949	1004435
9719	43355
57188	385747
54507	11559
339366	8020
11033	57507
55803	37662
104	151985
105	560212
103	45940
23536	26413
134637	27918
113179	8048
100	32239
57143	134950
90956	22219
79934	25356
203054	19480
55811	107309
107	148976
108	433943
109	101068
196883	16712
111	166794
112	22895
113	71997
114	261304
115	163055
117	59171
116	7788
113451	81136
118	86232
119	111416
120	139200
124	14616
125	16430
126	16249
127	20641
128	17810
130	16607
131	23249
137872	36403
55256	22165
149685	7266
9370	15753
51094	17747
79602	97615
132	558118
79924	4894
133	2324
22850	31095
23394	42519
134	39700
135	18763
136	48114
140	4204
84890	3759
83440	32482
113622	31543
54936	5047
141	10453
148	132881
147	72723
146	28657
150	3878
151	3695
152	2141
153	3038
154	2012
155	3609
156	20136
157	164619
11047	6801
158	40989
122622	23124
159	43568
165	10244
121536	118126
64782	27680
166	10197
134265	71799
84632	124018
60312	181213
246182	1323
4299	206448
2334	500046
3899	597171
27125	88274
172	28207
10939	48365
125061	22600
173	22256
174	19953
54812	68700
387763	1241
119385	39867
116987	637752
116986	18440
116988	58568
119016	28285
729092	27053
414189	22198
653268	22183
175	11729
123624	951856
79841	56214
340351	149643
84871	1503797
60509	19199
177	3412
3267	89053
3268	29017
55109	34830
55750	110743
178	73946
79814	13352
10554	9896
10555	14314
56894	122432
56895	144141
55326	52916
137964	46811
84803	70241
123688	29809
8540	151061
10551	13188
155465	27272
375790	36017
181	976
23287	195490
185	45132
186	4230
57085	14686
183	11599
64850	21000
85007	25678
64902	50089
189	11676
25909	92850
10768	38977
23382	205181
191	76964
27245	69933
54806	214239
113146	41121
79026	113262
57491	116571
196	47495
10598	11605
130872	11507
197	8258
51327	904
57379	10800
64853	44882
83543	26676
199	1803
9131	36525
84883	20667
150209	16186
51390	284520
55057	32271
202	211300
9447	73125
9255	33846
7965	14589
23746	11383
9049	22929
326	12772
55966	137925
203	19062
204	28971
205	84803
50808	32487
26289	278058
122481	97316
11216	73554
11215	51796
9590	118744
11214	368755
158798	24823
8165	36098
11217	123914
10566	33543
8852	10230
9495	9004
9472	634074
9465	157836
26993	38938
10270	26402
10142	172046
221264	198357
79647	14821
55122	27373
254268	42343
80709	64349
10327	19272
57016	13845
441282	30759
231	16889
1645	19868
1646	30258
8644	58920
1109	22112
340811	30727
6718	41846
83592	83867
8574	9438
22977	15133
246181	8140
84335	9323
207	26399
208	55214
10000	362846
64400	13371
210	15026
211	16244
212	21922
213	17195
214	210187
126133	17825
5832	50963
216	52382
8854	112499
220	36795
219	5963
10840	94197
160428	64825
217	50599
218	10406
224	29446
221	20729
222	19062
8659	31369
7915	42238
4329	27606
501	53378
64577	32708
223	36451
226	6141
229	15214
230	3848
144245	13046
84920	12981
440138	21202
79087	58306
79868	83423
199857	98569
644974	21968
200810	66122
56052	15554
85365	5517
10195	16000
29880	49629
29929	70926
79053	38711
79796	95485
8846	35634
121642	5443
221120	39443
54784	8643
54890	26126
84964	5119
84266	2456
91801	63011
238	730597
55821	57303
200420	40653
7840	224161
242	15080
245	46773
239	16963
247	10094
246	10759
241	50950
240	71955
59344	23016
248	4600
80216	145278
115701	147844
57538	56123
249	69428
251	3870
250	4138
259173	24698
151254	131761
130540	76014
65062	23317
79800	76045
57679	80886
8092	21564
257	10802
60529	49699
83650	1348
643664	1662
146861	1873
23600	21885
258	15032
259	18173
55626	197643
262	81092
144193	25389
51005	11060
265	10736
266	8109
267	64093
269	7817
268	2750
120425	31364
57463	5564
347902	4252
386724	2855
83607	25945
9949	246047
196394	58037
81693	11167
154810	170330
51421	20072
154796	66443
270	22520
271	12242
272	57258
273	247873
401138	14174
275	5695
276	9032
279	8448
280	24890
155185	85665
201283	9035
51321	51035
10393	131424
51529	9743
25847	8319
119504	19860
64682	118046
29882	13801
29945	41235
51433	45964
51434	30830
23357	26873
90806	23693
284	248436
285	63788
51378	46468
9068	21542
23452	35336
27329	8793
51129	10244
253935	26376
83854	14070
10218	6657
283	10009
286	243516
287	677722
288	707230
150709	88767
348094	46789
162282	406081
51479	100161
404734	147764
54882	138035
56172	166978
54467	155409
255239	14402
126549	5745
23141	36329
51281	92584
57037	46037
57763	13449
55608	36531
29123	222942
23253	149218
88455	40594
124930	25237
81573	95978
338692	13181
54522	28281
26057	186390
138649	28846
27063	8991
441425	60816
728747	43128
729171	96147
118932	31948
200539	6109
170961	42196
124149	99760
22852	162303
84079	78210
23243	192578
147463	63988
26287	11443
91074	183544
374860	107293
256006	168625
84250	101442
341405	3624
284615	5134
340120	13537
390616	15517
148741	19306
84832	1865
57730	97674
375248	151368
353322	3402
51239	10026
91369	14719
338699	62387
134548	3484
91526	348170
339416	97094
157567	50007
54851	5594
57182	48684
283373	20584
79998	8232
129138	18465
79722	133650
345079	3992
65124	4626
347454	1614
63926	23316
22881	200682
56311	18028
122416	8009
23294	208737
56899	1254869
124401	37867
257629	20151
203286	64546
55139	6873
54443	63982
55129	325746
55107	203623
57101	388549
63982	478784
121601	411184
203859	90872
196527	224371
50636	51051
57719	11632
338440	24077
8125	42360
10541	32602
23520	704
23519	1063
81611	17716
290	29957
84168	236183
118429	172326
195977	43422
93550	58395
11199	95211
311	54919
312	56599
301	18528
303	1342
304	1309
305	1349
302	50874
306	58686
307	183304
308	29048
309	57073
310	38957
728113	16002
653145	523886
8416	13777
313	215236
314	6127
8639	6948
316	91112
344454	52997
55435	41323
162	60903
164	79834
8906	8374
8907	47995
10053	14644
1174	6800
8905	29160
130340	82256
160	40113
161	86436
163	139148
1173	9245
1175	12710
8546	294182
8120	50627
8943	50578
26985	31055
10947	18237
1176	72475
10239	63395
10717	10873
23431	97331
9179	7626
11154	71344
317	90292
320	245480
321	232836
9546	10924
54518	129555
322	24329
323	406687
10307	6336
10297	26976
164284	56298
147495	35314
325	1039
324	138741
327	10869
328	2541
27301	8694
51107	16780
83464	31576
8539	32560
51074	34116
378708	12375
200558	112577
187	3876
8862	9697
333	11352
334	74917
128240	8042
335	2199
336	1336
337	2604
116519	3053
55911	4321
339	21199
10930	11690
200315	5575
9582	10432
27350	6116
140564	12150
200316	36891
60489	10738
164668	6864
403314	7041
338	42644
342	4583
341	5021
344	3514
345	3165
346	3259
347	15235
348	3599
319	2289
350	17382
8542	14460
23780	13745
80833	25854
80832	15705
80831	21901
80830	20090
81575	65549
55937	5806
139322	89463
79135	74590
10513	83093
26060	45742
55198	62933
351	290578
353	2589
54840	141248
89872	4266
282679	20721
375318	6617
653437	9325
358	13663
359	8141
360	6442
361	13765
362	3827
363	4192
375719	19277
441432	34986
364	19547
343	12015
366	47742
206338	65131
9716	117960
369	10821
116985	67320
116984	239647
64411	28829
372	30646
23237	3430
374	9869
375	16552
377	27274
378	25981
381	3289
382	3972
55738	17005
84364	12827
26286	60792
10565	169526
10564	114982
27236	132420
23647	6650
10139	9371
383	11103
384	31788
503640	1214
503582	22673
55082	26491
79658	340718
9824	24797
89839	23034
94134	123478
55843	697379
55114	96212
93663	134093
84986	70500
392	23583
57569	136154
57584	141811
58504	226434
57636	93103
83478	527516
9938	116335
23092	458641
201176	39014
79822	186000
9411	106163
257106	23029
57514	126425
9743	314458
115703	13307
158763	31539
80728	171341
143872	306653
393	18886
394	87140
395	528376
23779	110226
64333	16562
396	3618
397	19586
398	2419
55160	184433
9639	134715
9826	112063
23365	153661
22899	12275
27237	26526
9828	63427
23370	128089
128272	14846
9138	24268
9181	44423
100271715	85572
445328	9796
389337	82911
54848	129935
50650	351889
50649	214600
7984	25236
9459	115398
8874	191115
23229	150579
8289	86089
57492	434753
196528	178331
1820	50206
10620	56954
138715	12063
5926	75491
51742	161329
10865	15886
84159	195690
25820	128657
10425	67561
285598	49628
115761	5416
392509	21820
200894	75539
80117	1288
54622	426648
339231	2759
51326	79567
400	14704
23568	8376
402	8024
403	40666
10124	4131
10123	4040
379	2144
26225	29624
221079	22304
390790	9267
23204	9882
51329	2853
10550	21155
151188	44748
84100	50004
127829	11339
55207	58619
132946	19247
83787	24892
55156	31761
84071	140680
219681	110503
55130	187334
79798	8894
93436	24573
79637	20303
25852	111141
80210	196363
51309	4153
9823	4597
51566	8780
64860	4953
54470	2883
387715	2699
9915	193551
56938	92977
406	110716
405	67024
10552	40389
10095	20562
10109	37210
10094	15588
10093	15229
81873	15603
10092	14937
84517	2640
10776	22401
10777	159408
407	13506
408	91540
409	10881
92714	9720
27106	12978
57561	14701
91947	13130
645432	47855
410	5398
411	208878
414	25373
415	33724
416	72495
22901	192849
347527	27565
340075	6562
79642	80535
153642	50001
417	20406
419	101623
420	17957
116969	3889
9048	3920
64801	21651
421	50096
170302	12271
367	186598
57412	32429
427	28969
653308	19319
56624	66703
79827	125376
29065	1178
50807	391744
8853	198918
55616	56068
136371	12094
140456	33943
142689	6413
79754	27728
142686	24706
142685	72478
92591	8380
127247	18752
401036	70893
51665	25323
51676	42579
51130	116973
51666	59299
140458	63898
140459	7565
140460	49151
140461	9726
140462	26489
51008	122745
84164	49674
10973	376261
429	2839
430	2454
56676	5461
121549	2259
25842	15019
55723	17077
100126270	2386
432	6133
433	14216
55870	227897
9070	35115
434	82851
435	17757
8623	50655
438	47626
439	11217
54529	9432
440	76764
443	29759
554235	3084
374569	29924
253982	20296
57168	15755
444	214084
259266	62567
54829	26301
151516	2176
79058	40119
80150	63971
445	56567
28990	12981
431705	20242
460	309787
23245	991945
171023	81257
55252	144734
80816	172976
136991	64271
84896	89847
54454	239499
29028	76597
55210	22544
83858	37734
219293	20474
79915	65039
85300	47397
11101	188380
466	57480
1386	95956
467	55443
468	8192
22809	5234
1388	12982
22926	197750
80063	97582
55729	137303
11016	118559
83734	286481
9140	13365
55054	44103
89849	30725
23130	22695
55102	84146
64422	29452
115201	63004
23192	36198
84938	81751
84971	9521
9474	141344
10533	292304
79065	10256
285973	16058
80162	8347
471	47771
51062	99986
64225	84630
25923	47892
23300	11508
472	146618
1822	17862
474	2211
220202	1518
84913	37597
475	15809
57194	192903
23120	366291
57205	108225
23250	197134
23200	129506
286410	206737
479	32064
57130	18478
23400	26014
79572	84332
84239	194147
344905	104031
476	37273
477	27832
478	27648
480	35377
481	26029
482	11144
483	49906
23439	21152
487	26023
488	69846
489	40595
490	121317
491	383939
492	65252
493	117294
27032	166117
9914	97254
495	13627
496	9394
498	23985
506	7809
509	19697
513	3074
432369	367
514	6860
515	13309
516	3084
517	12386
518	5452
10476	8106
521	1840
9551	8009
522	11174
267020	798
10632	8458
539	12351
55101	16504
27109	16436
92270	41485
537	7847
10159	25878
535	63705
23545	49402
50617	93545
533	3335
527	6497
9114	43138
245972	55315
8992	51674
155066	7749
523	65021
525	29531
526	29477
528	51968
245973	64137
51382	21932
529	36686
90423	30730
9296	2991
9550	11110
534	2298
127124	17723
51606	127768
538	139739
540	79461
10396	248732
51761	653877
5205	157396
57198	25779
148229	30208
79895	323613
158381	76274
10079	171876
374868	309106
64756	33388
91647	24109
89978	328837
93974	2014
84126	20935
26033	855634
8455	180100
546	281357
545	129558
25814	173509
342371	11352
6310	462378
11273	14189
6311	147462
92552	1752
4287	48069
222255	272998
127002	8899
552889	7595
56970	6356
6314	140318
6315	32540
549	148154
550	3054
54998	1786
6791	1536
6790	22948
9212	6036
6795	5233
26053	1195031
57099	223092
10677	21328
23080	93237
60370	10010
552	8442
553	10452
554	4541
551	10965
158833	7172
158835	9428
8312	67786
8313	33085
558	42544
563	9301
22994	33394
64343	28231
51582	37898
566	4181
567	7385
8706	21586
148789	63827
8708	577796
8707	7883
8705	1702
10317	60197
126792	2804
145173	132301
27087	33738
135152	100381
26229	6690
11041	2255
10678	28616
10331	18748
79369	5271
84002	20184
192134	7575
93010	5454
374907	3665
84752	2894
146712	109696
2583	9830
124872	56493
283358	103570
338707	12618
2683	63259
8704	11969
8703	13697
8702	29165
9334	80933
9331	102424
11285	10228
27077	43218
80776	10117
79870	89580
570	24589
23621	31049
25825	114370
571	62974
60468	370380
572	14876
573	12237
9532	17507
9531	26439
9530	36446
9529	6270
85319	78083
574	1873
57597	70900
22893	28480
575	95360
576	37235
577	754224
55971	109440
80115	26055
10458	82303
8938	15796
578	7744
25805	5411
8815	2070
140836	42197
55024	284330
54971	128102
8314	9026
580	84038
56751	7646
343472	5763
56033	3728
8538	77042
317716	16857
10409	60022
7919	11777
84726	70101
23215	108015
7916	17065
7917	21872
7918	5055
7920	16369
116071	9026
55509	13526
10538	24523
581	6973
11177	122629
9031	81887
11176	41220
29994	397130
27113	12176
8424	87104
79738	3941
166379	44506
582	22963
583	49692
585	52297
129880	27161
55212	46168
27241	507994
56987	288377
4059	12362
63827	17411
55973	43310
10134	24254
9564	39826
8412	285478
400500	9002
8537	127227
10286	14058
54828	714980
55653	82842
586	139077
587	15965
56647	30149
144233	7063
590	64519
593	27184
594	362478
10295	9270
8915	10856
53335	103134
64919	102910
597	10304
10017	3512
10018	47531
83596	9082
23786	102000
79370	49846
440603	10765
598	59511
599	4926
596	196934
602	17424
255877	6594
604	24095
605	40160
9275	21334
9274	61090
606	86683
283149	29935
607	84716
9774	33224
53630	52694
83875	43434
63035	77798
286554	47722
54880	126144
613	137528
617	3760
618	199
622	63540
56898	22270
623	8553
624	39531
497258	191319
627	67137
55814	122652
146227	67993
8678	14184
57596	50257
139105	57973
57673	50334
389206	41802
79656	49970
221336	72677
222389	90533
7439	18793
54831	6667
144453	55908
266675	10683
51272	4498
10282	41593
100128327	50695
55859	1520
84707	1644
56271	2154
340542	2270
497634	14899
51283	36405
631	75315
8419	77326
632	1133
633	14566
168620	705
80823	32797
27319	3262
128408	1037
8553	5903
79365	5007
23743	20302
635	20479
80114	318563
636	276864
23299	53478
637	40527
638	18962
274	59131
51411	43630
55909	48730
329	31488
330	22030
332	11382
57448	261992
79444	4590
112401	1833
54841	42414
10904	10514
414899	875
640	70608
642	43741
641	98820
29760	82405
2647	3673
282991	13434
388552	23931
644	49220
645	17977
8548	28665
90427	20989
648	10385
27302	10488
9210	5906
649	46954
55589	140015
650	12560
651	26924
652	7155
653	121937
654	155629
655	97888
353500	38243
656	31683
168667	251512
657	172183
658	400498
659	191441
729096	31363
399761	25256
9790	52162
660	55742
646	28780
54796	461167
662	19940
663	30174
665	30073
664	14330
149428	11399
91653	76460
259282	58987
91272	9927
666	15386
51027	1227
552900	1376
388962	12512
66037	59433
23246	29393
60467	20982
669	33037
670	35223
80341	15999
254240	50620
128859	12460
671	33349
10380	32434
2186	158875
673	211601
8315	43877
672	81069
675	84760
79184	55363
23774	54595
6046	12911
8019	38228
23476	95703
23629	2473
29117	53031
10902	38899
65980	29068
676	65057
286076	1298
9577	450192
2972	106291
55290	6593
140707	58200
25798	40725
83990	184981
55299	10285
84312	46367
25855	7792
51660	18021
25874	20397
7862	16286
27154	36046
680	5833
84446	28565
9024	72755
54014	137419
254065	140374
26580	19357
55108	29808
682	12210
7809	18239
8927	117072
100131137	24912
54836	21692
683	72312
684	2691
390259	4264
9044	107667
84280	75301
121551	342893
84464	31986
118663	67425
388419	7239
643376	9662
149478	6757
53339	50835
55643	30276
22903	35872
90135	2560
55727	95486
284697	108164
114781	472090
685	49959
686	121164
690	639
91408	34531
689	7198
694	5568
7832	4083
10950	19287
54766	130906
695	41349
151888	36727
696	10122
11120	18718
10385	11981
54718	9197
11119	12947
11118	13161
10384	12911
56244	15540
10917	17881
79908	53089
153579	21653
8945	203513
701	60054
699	40579
9184	16223
84811	24828
8896	10975
11149	40335
705	11547
9256	27564
9689	15792
28969	60389
414152	26149
219621	103478
414235	18010
11067	2681
55853	21564
221060	1934
387638	20871
399726	4602
10974	2433
55088	53393
79892	44224
83938	1128544
399814	2137
387718	106641
282969	5258
170371	33852
142827	34729
26148	4544
100127889	30693
26098	44628
387640	14928
54906	81020
220979	6871
54838	73559
219793	14164
27291	110273
56652	6860
119032	10702
219738	3358
283025	2696
100131213	7454
143384	78559
254427	48936
118924	35076
645528	4459
282966	30610
64115	25964
414236	12808
80195	13906
84293	29286
414157	1213
256815	143300
79741	436735
118461	33136
196740	114882
90271	14778
79591	210638
119392	4327
80217	102495
79949	32167
143379	8079
63877	44400
80007	23452
118611	245513
170393	3117
79946	1706
374355	55932
387695	11530
746	3650
56673	12871
56672	8962
64776	6751
25858	4412
29125	7512
53838	10635
738	15648
56946	108103
280636	2304
349633	12707
256329	5930
283303	4799
143501	6397
25758	297994
160298	24878
219833	9955
120534	15354
79081	8966
79096	227861
25906	6404
91894	7958
341032	40676
28970	23155
55216	10851
10944	19693
55004	6005
79684	34480
79864	81334
283197	71398
160140	161313
220004	9808
28971	80167
83638	2252
85016	37151
54494	9068
51501	43714
119710	65045
56935	75507
79703	98780
220042	32924
790955	2013
144097	14344
283129	33878
254439	1705
399947	10813
399949	22246
387804	33338
399948	11659
120376	10386
143678	737
65998	8883
745	35901
60314	7482
55726	33167
196477	2961
90488	18315
29902	21972
84190	120822
283460	2454
91298	14624
83695	13260
84915	56684
55196	33692
283422	6074
80763	6651
283461	282117
54934	29027
374470	477589
64897	16001
60673	7572
121053	31309
51275	3238
55010	77349
79794	27898
57102	50778
160419	50177
283450	222236
84934	6842
196500	11110
121273	83370
115749	125996
113246	2565
120939	21205
57103	38815
144608	256424
283416	1683
84987	8217
91574	24524
144577	35984
387856	2282
440087	12111
341346	60429
728858	3491
254013	25954
728568	15561
338809	5706
387882	40827
400073	32462
196415	4249
28984	13465
121793	38410
80183	48303
57213	23799
80209	28224
122046	42848
93081	7904
122258	58389
283487	6321
144809	9999
144811	14754
84935	19306
79866	28449
400165	37453
400120	23819
440145	19262
728591	75810
196541	25529
54916	80837
55051	64109
55172	10070
55195	24681
55320	54000
26175	3489
55237	56932
55668	62588
55017	4951
112487	11470
84837	1280
51527	23838
56967	54647
64430	56310
79609	16116
79686	2824
84520	4171
90141	160108
145508	481180
171546	29452
122945	31992
112849	32660
84334	27939
81892	9527
80017	165113
56936	5072
414767	12321
145497	43919
51637	21148
55449	16381
79697	2461
161394	13922
643382	4787
283598	6153
283579	8974
112752	98320
400258	10751
283551	25851
196913	97730
280655	574
11161	11085
161424	9274
387978	22090
122525	9982
9556	9241
100129075	3935
645687	15539
145407	158769
317761	63820
91748	75163
80127	59002
256369	14488
161176	109427
64207	4165
145376	39490
440184	13698
388011	52514
283600	7082
283601	15476
145200	2088
91828	16360
122616	14522
283643	9393
283592	21642
60686	24250
57184	8054
283651	45594
90417	11567
56851	17845
161502	49771
123591	145050
80035	3280
79768	69422
23742	7618
145858	29440
196951	293961
80072	2675
283687	2083
348110	17946
56905	10287
123207	24001
84529	230637
90381	52554
145645	22555
81556	32353
84419	2920
414926	7733
196968	16771
388115	9515
400359	3440
400360	4176
256646	14422
644809	2245
90416	33716
390637	11602
388135	17739
81698	1511
283677	116849
145853	9015
643338	2469
25764	4006
146325	5745
84326	1939
750	993
115939	2638
89927	153671
123775	23770
84080	4437
730094	76543
79447	6337
283897	3527
124045	13528
79650	22015
64755	18916
80178	4854
29965	28104
56942	40588
57020	145460
123811	22884
79091	51895
80262	38663
146562	15052
29035	30258
254528	38178
404550	43579
116028	6325
123970	25627
283870	1815
9605	14098
29105	15837
283860	4455
162083	2239
388284	3709
388272	34868
400506	16290
146556	23373
646174	3168
283951	995
146378	4414
90835	5046
388327	1714
79701	29427
400591	5246
256302	14540
284071	20669
284067	7185
100134934	21346
100130311	3398
201229	16429
283987	22021
84299	2063
79018	28997
79736	8646
284029	3413
124783	7701
284083	2785
56985	13964
124944	2738
146853	4192
339263	23368
78995	20547
283982	79267
284185	6424
146705	10815
124989	117357
284018	2507
54785	1835
284021	47463
254863	1122
79415	8235
55731	99006
124773	10336
339201	10744
256957	13945
339210	42007
80169	23264
147081	25902
80233	12508
55181	5240
92340	5954
55018	6547
201243	2694
64149	21608
388341	50616
146723	9530
284099	17376
55352	7373
55028	16526
23587	8203
388407	1529
55421	44088
654434	6343
388325	25940
23591	779
284184	1999
339229	1569
84981	4768
360205	3956
124512	7840
100170841	3254
400566	4341
388381	6352
100141515	20262
25941	51569
147429	70638
147525	1305
125228	63211
753	435148
221241	69017
83608	7409
79863	16217
147339	93439
284254	66831
56651	91318
497661	9991
374864	503634
85019	200717
162681	24129
29090	12014
494514	8671
284274	46177
29919	28352
56005	12846
83636	16903
147685	16097
91978	12157
126353	15905
91300	16716
148046	2789
55009	3698
148223	6014
255057	10225
126321	19322
58509	16170
8725	92962
284424	3451
64073	755
255193	2022
374872	7544
113177	2921
255809	33238
126074	1503
91442	6017
126123	10733
79086	29416
79002	4044
84167	24987
374877	10902
163183	5506
126526	55784
84798	7160
79036	11625
352909	8061
90580	1443
28974	4317
284325	10516
148137	13020
51398	2952
79173	23817
199675	2776
55049	3652
56006	26979
29086	11977
284361	29422
55337	7130
100170765	2339
91304	11491
125988	2482
100128569	4873
55150	741
284369	18272
199800	2305
284422	6539
10438	21874
29071	4476
56913	66072
712	3054
708	6378
713	8401
714	4475
10882	8610
165257	2508
389941	8145
338761	4786
114897	26854
114898	23098
114899	226866
114900	6672
114904	19257
114905	106351
390664	8080
387911	6403
338872	15365
51279	14660
715	12226
716	10314
200159	37834
257044	188491
55791	86710
284618	7322
92346	50269
55765	24668
27042	29593
54955	10766
339512	17627
284680	3759
55732	59350
79729	22873
57821	67351
79762	8790
79098	14240
127687	1664
54987	6540
83932	17043
126859	189031
200197	40649
148345	35564
57095	9815
80133	130870
400746	53241
128061	17410
574036	2429
79000	27545
400757	49481
26099	30903
388649	27898
81626	53301
148823	70632
440574	32844
767846	1905
92342	2383
284573	8817
93190	17499
54991	34266
126868	23839
128346	16485
65260	13898
199920	113197
84808	6895
126695	10940
127254	106230
339448	11160
374977	68527
163747	36201
439927	6790
128229	9681
55924	33733
284546	50095
440712	49276
374946	39222
388701	7248
541468	17922
257177	3143
127003	7880
84886	32472
644997	1976
90529	58534
84852	25757
284677	20559
149466	3963
113444	9387
148898	2868
127703	5008
81563	241990
400798	6093
374973	4715
400793	7977
149643	17508
339541	50895
388759	2257
284485	8283
81627	39013
54823	134721
54953	45617
388753	11624
79169	2594
9473	14154
25912	14077
84066	10401
79078	12242
148523	4539
148423	9724
388722	4732
79630	10610
163859	16641
54964	3669
84284	33271
148362	22643
113802	13238
10485	52397
57035	96017
149563	4571
164127	2050
51093	8491
100129271	948
200205	16453
339453	5846
148304	5351
26097	12324
127428	58912
112770	3002
199990	28263
127795	83376
128344	28354
79363	5753
56063	17564
149499	20632
127281	4946
84970	52138
375057	60484
126731	22780
84791	49780
51430	79484
24141	16166
200232	8846
388799	28502
116151	9689
51526	21290
140688	142274
92747	36321
140710	86096
140711	21164
54994	10328
128506	9708
55184	83818
140699	78379
170487	1582
140701	1490
128653	843
128864	1581
140893	17302
140894	76139
140706	21801
128497	4324
128826	20311
140873	9105
63939	14911
359710	19944
149954	30239
149934	10625
25943	158360
79025	3692
149840	114121
284756	17028
441951	11082
253868	8491
198437	1581
400831	4825
284805	42316
55257	5256
55969	6778
26074	308200
54976	14889
55317	8314
29058	48214
57136	30005
51507	50864
55321	7577
25980	20805
113278	15905
140828	18089
140683	19642
128861	10496
92667	22528
140856	595
79133	36554
128602	10248
128710	193002
140680	19915
84996	827
150142	15726
728039	2256
284836	7301
150147	6400
150135	4255
284835	6564
387486	60518
54084	213679
755	10473
8209	12046
388815	561239
54069	129272
54067	25607
728409	4766
84221	24015
54059	28132
54058	23620
56683	13517
56245	23135
59271	103695
84536	6629
85395	37292
282566	449
56911	98775
391267	36675
114036	9242
114038	16129
114041	15675
114043	1762
54149	30382
246705	9846
80215	1501
149992	80085
83606	15512
150248	3340
84645	10619
25775	11841
128989	50164
55267	5694
150291	4346
51493	24665
79680	8728
253143	68785
25770	15301
91689	4593
339669	16740
348645	242995
388886	7483
128977	7346
150383	6767
644186	11807
150297	11441
51233	56860
646023	65868
79640	9199
23313	48527
9854	11792
25966	68908
26005	158632
145741	3940
388125	2197
126567	3712
100191040	2739
100132708	5813
150590	9874
84226	6200
54978	16947
27013	7375
29798	84905
408029	6700
51374	4823
55571	17430
79823	410878
92749	54793
6936	56036
84417	14865
54980	41146
60526	140650
80304	18090
79568	8800
348738	70934
79074	22575
130813	21436
200523	4966
151477	5913
339779	2562
79919	10841
343990	142379
55471	39734
165100	1412
285154	50750
129450	26711
285051	68317
375307	11636
130162	60016
493753	9198
130951	90698
401027	4938
151050	149988
